Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00192948,0.00346122,0.02314889,0.345188503,14.52310475,37.92910932,45.3600933,53.40515695,59.11870647,59.15051475,58.33797832,60.68781429,62.11846823,64.97499576,69.05451201,71.27030327,74.56157479,77.75122616,82.40818434,84.46612526,91.0280582,94.92547003,100,103.3668246,105.7537532,107.0375085,107.3249846,109.6331606,112.6894147,113.8902586,115.9477917,123.9487849,133.8471843,137.4249243
American Samoa,ASM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.62068966,71.58469945,69.25170068,68.30601093,70.22792023,72.44755245,80.45977011,101.1994003,85.65022422,85.20179372,100,102.2435897,101.2598425,102.7480916,104.1925466,102.1702838,103.902439,105.7189542,112.8325509,118.29653,135.0387597,
Antigua and Barbuda,ATG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,19.76292798,21.50729306,24.77102624,27.67852996,30.07090506,33.53107977,35.34681794,36.83165007,39.7232458,43.03191974,47.04531868,53.03363812,55.74886021,56.91870015,58.6869009,60.40715114,61.80609234,64.02446195,65.97488318,68.22621515,69.95276179,71.8285568,73.2729192,74.36340504,75.91372079,76.89504581,76.52345502,78.321621,81.9845484,82.90611176,86.53204675,90.63139134,91.63814756,93.10941111,93.73198301,93.91264464,94.36049286,96.03859251,98.71631209,98.25412103,98.56072743,100,100.7184523,101.52427,106.5129295,113.4350517,118.8861456
Australia,AUS,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,5.193481733,5.360814051,5.35676107,5.452643397,5.631656636,5.799732443,5.955367109,6.245017151,6.385695203,6.689418122,7.032741714,7.39746559,7.855266174,8.560981226,9.963061261,11.60594891,13.23308772,14.74412909,15.95848264,17.33640685,19.07292012,20.88957564,23.33558471,25.70591029,27.72716716,29.02499445,30.92540916,33.10000301,35.47468327,38.74967382,41.11130751,42.35294118,42.97935208,43.35214536,43.79381803,44.79632122,46.01094759,46.59657071,47.12574089,47.34976063,48.55754188,50.80611568,52.24918944,53.80911255,55.54838415,57.67337685,60.62356604,63.6462884,66.55478561,69.84870114,70.65459624,75.03657782,76.3915125,76.26653556,77.33838241,76.85590036,76.3462246,79.13529298,80.61434331,83.41021207,84.98291261,87.60034371,93.88613582,100
Austria,AUT,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,16.56575346,17.4084788,17.98995737,18.65167588,19.24550574,20.26963905,20.90253139,21.58139598,22.19388289,22.80056886,23.88179407,25.36350967,27.2911191,29.48683792,32.28871835,34.3738513,36.3073522,38.19486736,40.48389191,42.1495492,44.50175907,47.49079468,50.03406441,51.7716392,54.33421785,55.94413848,57.59504859,58.99861002,59.8994332,61.67530807,63.52537036,65.83888273,68.12947867,70.00786598,71.77552476,73.07747423,73.77933632,74.71083305,75.07098548,75.23563316,76.26434051,77.74179713,78.60023378,79.59610089,80.97149143,83.02166346,84.7191409,86.63317585,88.30848018,89.84451157,90.64533026,92.29501864,94.22552108,95.83557424,97.75874878,100,101.8147508,102.8077681,104.6690824,106.2115747,108.9657819,111.0646035,116.3454792,124.0797235
Azerbaijan,AZE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002554933,0.004689567,0.054648898,0.462944213,6.879663017,44.41898128,56.15410432,61.34414991,60.75209705,62.06564346,69.81936391,71.57532805,74.59178882,79.78447062,87.16610201,100,111.3012191,134.7071184,172.1253337,139.6883881,158.6103212,194.3362828,199.9388675,200.8287245,198.2480844,180.7037384,207.2155071,240.7272284,270.059545,269.4078699,249.4825559,303.3429063,416.4005097,378.0640161
Burundi,BDI,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.212037163,2.656157517,2.561401317,2.68145802,2.826718436,2.79762122,2.885803191,2.732336576,2.815859,2.966841976,3.120658248,3.163730165,3.299479814,3.481295751,3.914897321,4.740428031,5.123215141,5.85604627,6.588503275,8.310125802,9.671658838,9.085235688,9.600552214,10.2177284,11.97683244,12.58391879,12.04816924,11.63638751,12.04263971,13.81979431,14.6469866,15.24650839,16.07008829,17.31433828,18.46374118,21.4369042,24.53520385,32.48406748,36.20367382,41.61762198,57.82556042,65.75714952,66.43304002,74.36896399,84.14562649,100,102.8456663,111.3544746,138.3198445,152.7864356,165.8673306,179.7408891,205.4331807,221.7714952,233.5379279,283.3252879,286.0825429,318.8366556,309.7470711,312.3857056,331.024206,359.2166098,425.0672012,473.4229799
Belgium,BEL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,15.14539492,15.34462785,15.60052897,16.07256926,16.81872648,17.67660144,18.39887002,18.98642522,19.48392449,20.26792377,21.18934325,22.32471437,23.73514958,25.350798,28.43556927,32.10083537,34.53255822,37.11492361,38.75660955,40.50268824,42.17407093,44.34147947,47.69831402,50.37554908,53.11533274,55.57337354,57.12763879,58.08973185,59.34969208,62.19696852,63.94619817,65.78569008,68.03853742,70.75547385,72.23730911,73.11916031,73.46767411,74.02427321,75.36086996,75.8122231,77.33953011,78.87303235,80.16654872,81.649723,83.21330583,84.94669999,86.87050182,88.54856032,90.23883683,90.94434302,92.49322025,94.61364745,96.70057508,98.06646077,98.89060713,100,101.8952892,103.9160393,105.700571,107.6605141,109.3789015,112.3787662,120.0699462,125.4828228
Benin,BEN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,5.681644773,5.740815448,5.957850486,6.109718546,6.087499211,6.21275684,6.28337511,6.29223922,6.498217241,6.72267837,7.061975103,7.173080011,7.554488892,7.918822245,9.10036674,10.39689014,11.85613838,12.46991725,14.00801407,15.82971229,17.44241487,18.74517981,21.77220468,22.80555918,23.25108424,22.11713311,21.31999346,21.96566091,21.83155903,22.31729691,22.80305451,22.97558701,23.67062941,24.23359316,32.72264818,37.6635887,40.26512338,41.74185047,43.9256191,65.16038057,67.98902897,69.328607,71.79269354,73.9907734,74.56028852,77.76165689,79.39023255,79.69997611,84.82799388,86.98236371,87.74857888,91.0243062,98.03218386,99.40198599,99.15568512,100,100.6835911,100.3131785,100.9857258,100.5842532,103.4791005,105.1541426,109.5062412,113.213536
Burkina Faso,BFA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,11.74559633,11.96883411,12.20945214,12.83793672,13.07058793,12.98483546,13.28389141,12.69793784,12.66443069,13.53994231,13.78141733,14.2468813,15.28642569,15.69577461,17.42461857,18.84928256,20.11699212,23.87122043,27.34026389,29.46009822,32.02146773,36.37146224,39.66181255,41.8072457,44.5251704,44.86225564,42.01544186,42.53530866,43.98514873,46.11034416,46.9449485,45.08227587,45.18463951,44.5331494,51.05234017,54.50836358,54.69843705,55.54965405,59.96047214,70.38809262,69.81106991,72.57667239,74.79533117,75.905839,75.97464657,78.81563141,78.29322027,80.2445607,87.59480232,89.70189956,93.09228936,99.36485229,105.1518608,102.9129977,102.2745389,100,102.6042992,104.0574811,105.175024,105.7144672,112.5495374,112.6765643,119.3120478,121.6959593
Bangladesh,BGD,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,0.928434133,0.986530728,0.98674997,1.03770632,0.946977326,1.022088773,1.086441413,1.247147429,1.175192206,1.3141906,1.320897034,1.36003858,1.419907746,2.291813219,3.312649093,5.981642397,4.927053762,4.768887654,5.990623526,6.743315777,7.927109386,8.711472311,9.570058684,10.3823419,11.20001013,13.27146496,14.36694541,15.96449675,17.16116914,18.59206283,19.80663308,20.34726146,20.8726607,20.90512148,21.73426382,23.28716364,27.74507501,28.79945228,30.16345556,31.3039472,32.38288762,33.43894544,34.74067926,36.76113347,38.43822651,40.20114223,42.56333554,45.31771969,48.88013027,52.18655565,55.9151092,60.30972972,65.23376204,69.91425409,73.8775453,78.21620882,100,105.0475976,111.1461766,115.2120566,119.6374247,124.567892,130.8573521,139.882746
Bulgaria,BGR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,0.038809597,0.039904392,0.040669149,0.040406722,0.041512552,0.04160769,0.042167517,0.042194436,0.039920264,0.042606772,0.053764633,0.175561883,0.280159282,0.423295612,0.731052552,1.724959574,2.811101848,28.48245208,38.15253795,39.41887337,42.32831689,44.91785004,46.64645901,47.66774163,50.32834424,53.6471256,57.27178017,63.60113183,68.75502169,71.46260707,72.0086742,76.4104423,77.26026308,77.31585324,78.35249096,80.66212376,83.3429772,87.35437579,91.07152925,95.83956736,100,106.9666243,123.9939563,133.8938809
Bahrain,BHR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,12.89563019,13.64353142,14.35455038,16.36133084,20.40019348,23.64500732,26.08573291,29.03279546,31.26458166,35.48912317,44.0626145,52.39563261,59.58640616,57.38768736,57.14753131,56.10459199,46.3465165,46.6519625,47.58939996,49.480917,51.86921022,50.89275989,49.09489535,47.60937475,51.09970726,51.65703652,51.75865624,52.24090011,48.55404504,49.84385239,56.9827498,55.06594816,56.94609211,61.84492559,68.6423537,78.0703589,84.97368098,92.14174859,102.613743,89.28017358,100,109.4859633,112.6982237,113.261522,111.6300613,101.8549814,102.2188561,106.937109,111.4420631,111.6257221,105.1192279,114.7990296,123.8099437,118.6795671
"Bahamas, The",BHS,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.660953529,7.749866653,7.834311722,7.939586396,8.059101074,8.221228246,8.531276951,8.933362223,9.394634665,10.23314083,10.86200271,11.35975958,12.13070772,12.80408615,14.49841336,16.04341913,16.42680314,16.71077379,17.08641256,18.54800078,20.4040743,24.01321382,24.90050389,26.38879879,27.22570251,29.52919492,30.90536969,32.94090478,33.42985014,34.03599059,35.76287841,36.67717066,38.10962156,37.78493378,38.60991739,38.91973701,39.30280205,68.08403578,70.15986447,73.63343651,74.31285769,74.57529408,77.52882945,78.42419366,79.36136089,83.37387796,84.06437584,86.5425649,87.83084677,86.92058516,86.57936488,85.83598984,88.7162444,88.56594695,91.79698446,96.67042408,98.22149113,99.54582173,99.99992073,104.593325,101.8374969,100.7459645,105.0790949,111.7457542
Bosnia and Herzegovina,BIH,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014364807,0.021327775,0.311818211,23.83792126,35.54669521,40.30371262,40.96454596,45.53180361,44.42096662,48.16713054,62.77747022,65.7444073,69.03679937,70.01081298,71.52442686,75.95108491,81.87536627,86.9496489,93.32771109,93.50080276,94.81569891,97.12211724,97.89498917,97.67558496,98.65267019,100,101.333306,103.1357286,106.0148913,108.6350543,108.7025629,114.0992151,127.573009,136.2003944
Belarus,BLR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00E-07,1.47E-06,1.66E-05,0.000192926,0.003946775,0.030054856,0.04619862,0.079299734,0.140027824,0.583626779,1.665033279,2.989310378,4.331323573,5.660404139,6.943907711,8.261317029,9.149294252,10.32705566,12.51778934,13.67676913,15.22775713,26.00311467,45.56829153,55.25747747,65.31002963,75.7747391,82.09563149,89.17469015,100.0002453,108.5769085,121.4733453,140.09086,160.9431917,172.8018571
Belize,BLZ,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,14.08037755,14.32861842,14.52305268,14.65922944,14.97237566,15.8124179,16.72541643,17.24765813,17.53730808,17.5751768,18.87040447,19.82598356,19.58108606,22.45485929,27.32994912,31.94250428,32.3122338,33.03683414,35.4647712,36.73633726,55.56395035,55.65635005,53.10897436,57.24424064,62.17344754,60.90735637,63.16536551,67.96080945,70.30025021,72.48708487,72.46539964,70.7464455,73.17778128,74.55067584,76.49185361,80.53193058,82.74336283,81.48528246,83.47177944,82.08863357,83.27422952,81.674153,82.23925468,78.86127429,80.55028463,82.96956742,85.64239195,88.90219769,92.10763282,89.78756215,91.80646858,96.32021509,97.03468428,98.89802472,100,99.69541993,101.7833208,104.8703177,104.9518318,104.8281613,104.1446815,104.8015933,112.4022743,119.719327
Bermuda,BMU,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,4.558559072,4.601365608,4.64629999,4.705345237,4.727039375,4.796107233,4.921219016,5.092493953,5.549882135,5.898473735,6.268279692,6.866662931,7.520765502,8.484341746,9.755631079,10.3757992,10.66462505,11.65313993,12.22632412,13.01068724,14.29277169,16.82393455,18.87790008,20.95397469,23.11151169,24.87124257,26.32251357,28.03035884,29.40188821,31.05918831,32.9331669,35.05096422,36.03725668,37.9098623,38.65273182,40.26782211,52.09234631,54.18849185,55.67409704,57.18406274,54.76154218,54.01174948,58.64619647,60.30279876,63.13229207,67.40153424,80.59818969,85.8974359,90.28586211,91.22807018,93.26813235,92.1943774,98.36974459,100,103.0118909,106.0528226,110.6907287,110.5857565,112.3674224,115.0859858,114.6143585,115.0285748,116.1078037,120.8756458
Bolivia,BOL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.35E-05,7.83E-05,8.11E-05,8.17E-05,8.86E-05,9.38E-05,9.69E-05,0.000102947,0.00010767,0.000111675,0.000116097,0.000119045,0.000141637,0.000202462,0.000327069,0.000348967,0.000378975,0.000426501,0.000486653,0.000582997,0.00072903,0.000943993,0.002438177,0.008904164,0.137426619,17.09403004,56.42828586,64.65789644,75.98811759,86.0082309,100,117.6894402,133.22351,141.9591863,153.2480757,170.760165,190.5345454,201.4046238,215.6059191,220.8053979,232.2771331,236.620933,243.2954355,258.6960178,279.308165,295.9012978,336.3323029,361.1312738,398.6209677,388.9747615,423.1170528,484.9021037,519.331489,550.4674286,561.7492456,535.7930471,528.533745,560.5702892,577.7028078,573.6993076,563.0607046,585.3360597,615.3313981,612.2224335
Brazil,BRA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.69E-13,3.62E-13,5.44E-13,9.71E-13,1.84E-12,2.93E-12,4.04E-12,5.11E-12,6.47E-12,7.77E-12,9.03E-12,1.08E-11,1.29E-11,1.67E-11,2.25E-11,3.02E-11,4.26E-11,6.20E-11,8.57E-11,1.32E-10,2.54E-10,5.10E-10,1.02E-09,2.37E-09,7.15E-09,2.49E-08,6.21E-08,1.90E-07,1.39E-06,1.95E-05,0.000551867,0.002851377,0.030481591,0.638939939,14.95227353,29.00412759,34.35720008,37.01267612,38.83531413,41.94621731,44.29774957,47.94128126,52.6386218,60.05594133,64.71151439,69.52037247,74.22987307,79.00956287,85.945459,92.23106532,100,108.3185922,116.9224755,125.6969981,135.5600767,145.8167894,157.6332051,163.4205262,170.7638836,177.9773921,189.4969781,214.2211621,232.5805197,243.416434
Barbados,BRB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,4.063593726,4.025070887,3.838479845,4.549931921,4.305261493,4.088051247,4.236589227,4.306380935,4.641117735,4.854187322,5.210680623,5.565656165,6.116283412,7.509214012,9.868713753,12.76624,13.15190588,14.43426086,15.40388323,17.31062726,25.04468697,28.10021116,30.86689251,32.6152824,34.30581177,35.51143026,37.10003237,39.82234749,40.92039103,43.71262572,45.3423672,47.38063489,48.38623845,50.90008083,52.02489253,52.55354306,53.88757083,54.38166515,59.11464077,61.73544316,60.91878254,62.29273822,62.85826673,63.55968463,67.26403466,71.74901522,74.68812088,81.12045685,82.58625068,81.0751664,96.36004739,99.89351292,98.87705463,101.5898397,101.5974219,100.9764939,100,103.367272,106.7294498,109.0203412,114.5955564,117.2647376,118.0445211,121.8008509
Brunei Darussalam,BRN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,39.64827842,41.79262087,44.0843941,47.70976677,46.29055386,52.47893846,102.2145229,112.7493144,106.4540362,92.91908218,92.51047632,89.71191345,56.44686097,62.76877859,56.17341121,61.49824833,67.48545325,65.03343309,63.73538431,62.36997667,60.86889112,66.35079742,65.7102502,66.1674978,56.91133314,62.83342291,64.32679766,61.12779213,61.04503479,64.89695849,75.63218291,91.13951516,100.2027496,104.909161,121.7164132,95.25615801,100,120.1807687,121.6472769,118.2125788,116.0303563,95.59422759,86.82871954,91.13131589,99.52963605,96.21158905,85.75939341,99.02287982,123.0227846,107.1575256
Bhutan,BTN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,5.269320956,5.504250697,5.828887755,6.587674701,7.718800163,7.712867194,7.71607748,7.716907684,6.491612218,6.881510391,7.74288128,8.010982824,8.594755094,9.209998556,10.14607417,10.80644304,11.5829333,11.71048139,13.46293992,14.2179302,15.10020297,16.45035505,17.91826787,19.44373078,21.84333119,23.65291632,25.57179056,28.87230955,31.9605689,33.93261883,39.54071248,41.65113101,43.80249232,45.39002878,47.3626257,50.43134608,53.74726949,56.26703711,59.421469,62.05033387,67.21724183,73.18627133,79.50721842,84.40814799,89.23817538,92.10252202,95.83167301,100,101.1508627,104.29464,109.8090881,118.18534,125.0340093,
Botswana,BWA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,0.941399755,0.959605923,0.97266362,0.984110185,1.009180381,1.04799624,1.108662039,1.192715818,1.218551825,1.237858015,1.311864512,1.373052235,1.52100441,1.67168442,1.885608607,2.196117091,2.444619377,2.565319606,2.885133162,3.515718303,3.873979931,3.870558322,4.013591645,4.364599717,5.037925863,6.191291453,7.061864414,7.958302414,9.764603053,11.09735197,11.79648718,12.40727507,13.2310289,14.9596232,16.37537273,17.54707893,20.37429858,21.39110006,23.52320893,26.87178676,30.67977878,33.2301351,33.62469998,34.72055732,38.21996892,44.13325036,46.40805389,49.20608719,53.81804101,61.94937317,66.70898158,75.14988354,77.413279,78.59934411,86.14802685,89.36162166,100.0000433,97.35012288,97.40580419,97.90022187,102.1872665,110.7520409,126.9412769,129.6383725
Central African Republic,CAF,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.298689766,7.636985389,8.010338273,8.384779589,9.017157238,9.471544298,9.895434838,9.818802886,11.40673907,10.96727303,11.45980007,12.02571574,12.5842185,12.86100716,13.55305791,16.17235119,20.37661699,22.69394018,24.78822633,27.49674509,32.51912984,37.03042614,44.77505614,49.7463775,50.45247811,67.67956523,65.35880774,63.85336487,65.52891288,67.13843719,68.37153201,68.10500911,70.00013111,67.59701239,84.09918014,92.42329669,89.14869702,89.88273045,89.51047745,93.16672578,101.0920475,101.5226376,99.11464074,100.4392273,95.97994058,100,103.3340459,105.2335651,112.6810189,113.482889,118.2620045,123.0032643,130.6061406,133.8549511,149.7753957,153.8317074,158.4160678,168.6239339,166.5597794,170.4370197,173.8153551,179.3527064,190.0563404,196.5181666
Canada,CAN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,11.13011028,11.40217771,11.55153194,11.80361253,12.13786952,12.59607799,13.21591897,13.80457435,14.36574879,15.05915226,15.77024751,16.54794781,17.51203854,19.25077498,22.24802056,24.69479879,26.86384828,28.66843671,30.62551466,33.70951949,37.0993116,41.13236194,44.76314777,47.37036615,49.0498305,50.68730474,52.27502325,54.779834,57.26683746,59.94764315,61.95726902,63.85116017,64.79031549,65.62549044,66.5807554,68.08769477,69.22835091,70.02041207,69.89701842,71.24173615,74.35799148,75.52814592,76.47793007,78.96326167,81.53815406,84.07940356,86.24038942,89.08679283,92.64698299,90.49301284,93.07083098,96.09047237,97.26128068,98.95434466,100.8752454,100,100.7169781,103.3064264,105.0121376,106.6356996,107.7775656,116.0385709,124.9199542,126.8371134
Central Europe and the Baltics,CEB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,22.25200379,23.15505447,24.50431529,25.69222575,27.05667,28.08407708,29.43351971,30.74428722,31.69155124,32.50741589,34.03941093,37.15439954,40.79625861,44.11724749,47.17572811,50.54074506,51.92043389,52.05439472,53.93499768,55.00742426,56.49630072,59.69461715,64.08100186,65.597725,68.06396199,69.60951129,71.72187733,73.29508386,75.34019173,77.94580225,81.53413182,85.94439843,87.77040323,89.80845305,90.87213282,91.54254899,91.79888868,91.36148228,91.18857239,91.22848614,92.47584001,93.37690917,93.14396749,94.24284205,94.52239203,95.39638226,97.44765059,99.764041,101.2105478,101.6736305,101.9916012,101.9707409,102.0357169,101.9471064,101.2812656,100,99.41670841,99.05098494,99.80802092,99.70432522,99.00720492,100.2410248,102.744203,103.7955989
Channel Islands,CHI,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.81863326,65.29577032,67.49124135,71.17265687,72.62327409,73.91507819,76.15777334,77.22132039,79.58607437,83.01568633,85.46860636,87.89023103,88.08081229,94.56208213,100.0018447
Chile,CHL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.32E-05,2.47E-05,2.79E-05,4.01E-05,5.94E-05,8.24E-05,0.000105963,0.000132607,0.000176989,0.000248069,0.000348724,0.00041035,0.000769795,0.003962985,0.030856135,0.13798901,0.479247572,0.966995183,1.511264946,2.236334882,2.887503267,3.221554262,3.468207644,4.5420921,5.256905301,7.448083613,9.046062256,11.38432633,13.85676079,15.76290121,19.30497283,23.43449615,26.58980506,29.82430054,34.13808288,38.12565611,39.68109756,41.00270845,41.32211554,42.2261475,44.15167819,46.04011037,47.57815409,49.62415787,53.11013671,56.89174593,63.91781733,67.17043978,67.37942885,69.79012671,75.97174635,78.44881643,79.04774701,80.83483524,85.56601055,89.80526347,93.90097265,98.43469179,100,102.5677872,112.4817051,120.2595404,129.7766201,138.3412437
